127.0.0.1 - - [26/Jul/2023:10:20:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:40:35 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:40:49 +0900] "GET /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:40:54 +0900] "GET /Goit/signUpPage HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:40:55 +0900] "GET /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:40:58 +0900] "GET /Goit/myPage HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:40:59 +0900] "GET /Goit/goitPage HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:41:02 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:41:09 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4112
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:41:11 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4112
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:41:13 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:41:22 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:41:44 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:50:19 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4115
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:50:21 +0900] "POST /Goit/signIn HTTP/1.1" 400 920
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:50:38 +0900] "POST /Goit/signIn HTTP/1.1" 400 920
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:51:23 +0900] "GET /Goit/signInPage HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:51:24 +0900] "POST /Goit/signIn HTTP/1.1" 400 920
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:51:27 +0900] "POST /Goit/signIn HTTP/1.1" 400 920
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:51:28 +0900] "POST /Goit/signIn HTTP/1.1" 400 920
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:51:29 +0900] "POST /Goit/signIn HTTP/1.1" 400 920
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:51:29 +0900] "POST /Goit/signIn HTTP/1.1" 400 920
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:51:30 +0900] "POST /Goit/signIn HTTP/1.1" 400 920
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:51:30 +0900] "POST /Goit/signIn HTTP/1.1" 400 920
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:51:30 +0900] "POST /Goit/signIn HTTP/1.1" 400 920
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:51:31 +0900] "POST /Goit/signIn HTTP/1.1" 400 920
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:56:56 +0900] "GET /Goit/signInPage HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:56:58 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:57:00 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:57:00 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:57:01 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:57:01 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:57:02 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:57:02 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:57:42 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2027
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:57:55 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:57:55 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:58:03 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:58:35 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:59:04 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:00:12 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:00:20 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:00:24 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:00:40 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:00:44 +0900] "POST /Goit/signIn HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:01:44 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:01:47 +0900] "POST /Goit/signIn HTTP/1.1" 500 5929
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:27:08 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:27:36 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:27:41 +0900] "POST /Goit/signIn HTTP/1.1" 400 929
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:28:05 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:28:08 +0900] "POST /Goit/signIn HTTP/1.1" 400 929
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:29:56 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:29:59 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:30:26 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:30:30 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:30:50 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:34:04 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:34:13 +0900] "POST /Goit/signIn HTTP/1.1" 500 8256
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:35:19 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:35:22 +0900] "POST /Goit/signIn HTTP/1.1" 500 8256
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:36:18 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:36:22 +0900] "POST /Goit/signIn HTTP/1.1" 500 8256
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:38:28 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:38:32 +0900] "POST /Goit/signIn HTTP/1.1" 500 8256
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:41:07 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:41:11 +0900] "POST /Goit/signIn HTTP/1.1" 500 8256
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:42:30 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:42:32 +0900] "POST /Goit/signIn HTTP/1.1" 500 8256
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:43:41 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:43:43 +0900] "POST /Goit/signIn HTTP/1.1" 500 8256
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:51:38 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:51:40 +0900] "POST /Goit/signIn HTTP/1.1" 500 8256
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:54:33 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:11:54:36 +0900] "POST /Goit/signIn HTTP/1.1" 500 8256
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:04:25 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:04:29 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:04:49 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:04:50 +0900] "GET /Goit/mainPage HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:05:46 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:08:07 +0900] "GET /Goit/myPage HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:08:09 +0900] "GET /Goit/mainPage HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:08:11 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:08:21 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:08:22 +0900] "GET /Goit/mainPage HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:08:30 +0900] "GET /Goit/signInPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:08:30 +0900] "GET /Goit/mainPage HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:08:35 +0900] "GET /Goit/signInPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:08:35 +0900] "GET /Goit/mainPage HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:09:34 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:09:52 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:09:54 +0900] "GET /Goit/mainPage HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:10:01 +0900] "GET /Goit/signInPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:10:01 +0900] "GET /Goit/mainPage HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:17:22 +0900] "GET /Goit/mainPage HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:17:25 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:17:32 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:17:33 +0900] "GET /Goit/mainPage HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:21:38 +0900] "GET /Goit/mainPage HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:24:49 +0900] "GET /Goit/mainPage HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:24:55 +0900] "GET /Goit/mainPage HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:24:56 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:25:04 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:25:05 +0900] "GET /Goit/mainPage HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:25:06 +0900] "GET /Goit/signOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:25:06 +0900] "GET /Goit/mainPage HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:25:09 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:26:00 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:26:06 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:26:07 +0900] "GET /Goit/mainPage HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:26:12 +0900] "GET /Goit/signOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:26:12 +0900] "GET /Goit/mainPage HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:31:14 +0900] "GET /Goit/mainPage HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:31:16 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:31:21 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:31:23 +0900] "GET /Goit/mainPage HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:31:24 +0900] "GET /Goit/myPage HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:31:32 +0900] "GET /Goit/signOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:31:32 +0900] "GET /Goit/mainPage HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:31:34 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:31:39 +0900] "GET /Goit/signUpPage HTTP/1.1" 200 8518
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:57:24 +0900] "GET /Goit/mainPage HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:57:34 +0900] "GET /Goit/mainPage HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:57:54 +0900] "GET /Goit/mainPage HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:58:03 +0900] "GET /Goit/mainPage HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:58:12 +0900] "GET /Goit/mainPage HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:58:21 +0900] "GET /Goit/mainPage HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [26/Jul/2023:12:58:50 +0900] "GET /Goit/mainPage HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:02:20 +0900] "GET /Goit/mainPage HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:02:29 +0900] "GET /Goit/mainPage HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:02:37 +0900] "GET /Goit/mainPage HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:02:44 +0900] "GET /Goit/mainPage HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:02:58 +0900] "GET /Goit/mainPage HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:03:06 +0900] "GET /Goit/mainPage HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:03:12 +0900] "GET /Goit/mainPage HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:03:18 +0900] "GET /Goit/mainPage HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:03:26 +0900] "GET /Goit/mainPage HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:03:35 +0900] "GET /Goit/mainPage HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:04:46 +0900] "GET /Goit/mainPage HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:04:51 +0900] "GET /Goit/mainPage HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:04:59 +0900] "GET /Goit/mainPage HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:05:31 +0900] "GET /Goit/mainPage HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:05:32 +0900] "GET /Goit/mainPage HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:05:32 +0900] "GET /Goit/mainPage HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [26/Jul/2023:13:05:32 +0900] "GET /Goit/mainPage HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:34:24 +0900] "GET /Goit/mainPage HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:34:24 +0900] "GET /main/main1.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:34:44 +0900] "GET /Goit/mainPage HTTP/1.1" 200 935
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:34:44 +0900] "GET /Goit/resources/main/main1.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:36:18 +0900] "GET /Goit/mainPage HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:36:18 +0900] "GET /main/main1.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:36:19 +0900] "GET /Goit/mainPage HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:36:19 +0900] "GET /main/main1.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:36:19 +0900] "GET /Goit/mainPage HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:36:19 +0900] "GET /main/main1.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:37:04 +0900] "GET /Goit/mainPage HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:37:04 +0900] "GET /main/main1.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:37:05 +0900] "GET /Goit/mainPage HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:37:05 +0900] "GET /main/main1.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:37:21 +0900] "GET /Goit/mainPage HTTP/1.1" 200 935
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:37:21 +0900] "GET /Goit/resources/main/main1.jpg HTTP/1.1" 200 212990
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:38:28 +0900] "GET /Goit/mainPage HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:38:28 +0900] "GET /Goit/resources/main/main1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:38:36 +0900] "GET /Goit/mainPage HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:38:56 +0900] "GET /Goit/mainPage HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:38:57 +0900] "GET /Goit/resources/main/main2.gif HTTP/1.1" 200 1602641
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:29 +0900] "GET /Goit/mainPage HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:29 +0900] "GET /Goit/resources/main/main1.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:29 +0900] "GET /Goit/resources/main/main3.gif HTTP/1.1" 200 445358
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:29 +0900] "GET /Goit/resources/main/main2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:29 +0900] "GET /Goit/resources/main/main4.gif HTTP/1.1" 200 824390
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:30 +0900] "GET /Goit/resources/main/main5.gif HTTP/1.1" 200 1519109
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:30 +0900] "GET /Goit/resources/main/main9.gif HTTP/1.1" 200 2082577
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:30 +0900] "GET /Goit/resources/main/main6.gif HTTP/1.1" 200 3867666
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:30 +0900] "GET /Goit/resources/main/main8.gif HTTP/1.1" 200 3478040
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:30 +0900] "GET /Goit/resources/main/main7.gif HTTP/1.1" 200 9469229
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:44 +0900] "GET /Goit/mainPage HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:45 +0900] "GET /Goit/resources/main/main1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:45 +0900] "GET /Goit/resources/main/main3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:45 +0900] "GET /Goit/resources/main/main4.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:45 +0900] "GET /Goit/resources/main/main5.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:45 +0900] "GET /Goit/resources/main/main9.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:45 +0900] "GET /Goit/resources/main/main2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:45 +0900] "GET /Goit/resources/main/main6.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:45 +0900] "GET /Goit/resources/main/main8.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:39:45 +0900] "GET /Goit/resources/main/main7.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:41:13 +0900] "GET /Goit/goitPage HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:41:15 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:41:30 +0900] "GET /Goit/signInPage HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:41:38 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:41:39 +0900] "GET /Goit/mainPage HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:41:39 +0900] "GET /Goit/resources/main/main2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:41:39 +0900] "GET /Goit/resources/main/main1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:41:39 +0900] "GET /Goit/resources/main/main3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:14:41:39 +0900] "GET /Goit/resources/main/main5.gif HTTP/1.1" 304 -
